actual,estimate,period,quarter,surprise,surprisePercent,symbol,year,company,sector,surprise_pct
2.84,2.7257,2025-12-31,1,0.1143,4.1934,AAPL,2026,Apple,Technology,4.19
1.85,1.8075,2025-09-30,4,0.0425,2.3513,AAPL,2025,Apple,Technology,2.35
1.57,1.4626,2025-06-30,3,0.1074,7.3431,AAPL,2025,Apple,Technology,7.34
1.65,1.6596,2025-03-31,2,-0.0096,-0.5785,AAPL,2025,Apple,Technology,-0.58
4.14,4.0345,2025-12-31,2,0.1055,2.6149,MSFT,2026,Microsoft,Technology,2.61
4.13,3.7391,2025-09-30,1,0.3909,10.4544,MSFT,2026,Microsoft,Technology,10.45
3.65,3.4368,2025-06-30,4,0.2132,6.2034,MSFT,2025,Microsoft,Technology,6.2
3.46,3.2846,2025-03-31,3,0.1754,5.3401,MSFT,2025,Microsoft,Technology,5.34
2.82,2.7063,2025-12-31,4,0.1137,4.2013,GOOGL,2025,Alphabet,Technology,4.2
3.1,2.3954,2025-09-30,3,0.7046,29.4147,GOOGL,2025,Alphabet,Technology,29.41
2.31,2.25,2025-06-30,2,0.06,2.6667,GOOGL,2025,Alphabet,Technology,2.67
2.27,2.0726,2025-03-31,1,0.1974,9.5243,GOOGL,2025,Alphabet,Technology,9.52
8.88,8.3992,2025-12-31,4,0.4808,5.7244,META,2025,Meta Platforms,Technology,5.72
7.25,6.8245,2025-09-30,3,0.4255,6.2349,META,2025,Meta Platforms,Technology,6.23
7.14,6.0352,2025-06-30,2,1.1048,18.3059,META,2025,Meta Platforms,Technology,18.31
6.43,5.3859,2025-03-31,1,1.0441,19.3858,META,2025,Meta Platforms,Technology,19.39
1.62,1.5616,2026-03-31,4,0.0584,3.7398,NVDA,2026,NVIDIA,Technology,3.74
1.3,1.2746,2025-12-31,3,0.0254,1.9928,NVDA,2026,NVIDIA,Technology,1.99
1.05,1.0281,2025-09-30,2,0.0219,2.1301,NVDA,2026,NVIDIA,Technology,2.13
0.96,0.9521,2025-06-30,1,0.0079,0.8297,NVDA,2026,NVIDIA,Technology,0.83
5.23,5.0539,2025-12-31,4,0.1761,3.4844,JPM,2025,JPMorgan Chase,Finance,3.48
5.07,4.8839,2025-09-30,3,0.1861,3.8105,JPM,2025,JPMorgan Chase,Finance,3.81
4.96,4.5268,2025-06-30,2,0.4332,9.5697,JPM,2025,JPMorgan Chase,Finance,9.57
4.91,4.66,2025-03-31,1,0.25,5.3648,JPM,2025,JPMorgan Chase,Finance,5.36
14.01,12.0225,2025-12-31,4,1.9875,16.5315,GS,2025,Goldman Sachs,Finance,16.53
12.25,11.3279,2025-09-30,3,0.9221,8.1401,GS,2025,Goldman Sachs,Finance,8.14
10.91,9.8126,2025-06-30,2,1.0974,11.1836,GS,2025,Goldman Sachs,Finance,11.18
14.12,12.7203,2025-03-31,1,1.3997,11.0037,GS,2025,Goldman Sachs,Finance,11.0
0.98,0.9676,2025-12-31,4,0.0124,1.2815,BAC,2025,Bank of America,Finance,1.28
1.06,0.961,2025-09-30,3,0.099,10.3018,BAC,2025,Bank of America,Finance,10.3
0.89,0.8643,2025-06-30,2,0.0257,2.9735,BAC,2025,Bank of America,Finance,2.97
0.9,0.827,2025-03-31,1,0.073,8.8271,BAC,2025,Bank of America,Finance,8.83
2.46,2.4633,2025-12-31,4,-0.0033,-0.134,JNJ,2025,Johnson & Johnson,Healthcare,-0.13
2.8,2.7848,2025-09-30,3,0.0152,0.5458,JNJ,2025,Johnson & Johnson,Healthcare,0.55
2.77,2.7078,2025-06-30,2,0.0622,2.2971,JNJ,2025,Johnson & Johnson,Healthcare,2.3
2.77,2.6142,2025-03-31,1,0.1558,5.9598,JNJ,2025,Johnson & Johnson,Healthcare,5.96
2.11,2.1222,2025-12-31,4,-0.0122,-0.5749,UNH,2025,UnitedHealth,Healthcare,-0.57
2.92,2.8218,2025-09-30,3,0.0982,3.48,UNH,2025,UnitedHealth,Healthcare,3.48
4.08,4.5292,2025-06-30,2,-0.4492,-9.9179,UNH,2025,UnitedHealth,Healthcare,-9.92
7.2,7.3601,2025-03-31,1,-0.1601,-2.1752,UNH,2025,UnitedHealth,Healthcare,-2.18
1.95,2.011,2025-12-31,4,-0.061,-3.0333,AMZN,2025,Amazon,Consumer,-3.03
1.95,1.605,2025-09-30,3,0.345,21.4953,AMZN,2025,Amazon,Consumer,21.5
1.68,1.3545,2025-06-30,2,0.3255,24.031,AMZN,2025,Amazon,Consumer,24.03
1.59,1.3893,2025-03-31,1,0.2007,14.4461,AMZN,2025,Amazon,Consumer,14.45
0.74,0.7334,2026-03-31,4,0.0066,0.8999,WMT,2026,Walmart,Consumer,0.9
0.62,0.6068,2025-12-31,3,0.0132,2.1753,WMT,2026,Walmart,Consumer,2.18
0.68,0.7486,2025-09-30,2,-0.0686,-9.1638,WMT,2026,Walmart,Consumer,-9.16
0.61,0.5816,2025-06-30,1,0.0284,4.8831,WMT,2026,Walmart,Consumer,4.88
0.58,0.5803,2025-12-31,4,-0.0003,-0.0517,KO,2025,Coca-Cola,Consumer,-0.05
0.82,0.8011,2025-09-30,3,0.0189,2.3593,KO,2025,Coca-Cola,Consumer,2.36
0.87,0.8574,2025-06-30,2,0.0126,1.4696,KO,2025,Coca-Cola,Consumer,1.47
0.73,0.7351,2025-03-31,1,-0.0051,-0.6938,KO,2025,Coca-Cola,Consumer,-0.69
5.16,4.7223,2025-12-31,4,0.4377,9.2688,CAT,2025,Caterpillar,Industrial,9.27
4.95,4.5687,2025-09-30,3,0.3813,8.3459,CAT,2025,Caterpillar,Industrial,8.35
4.72,4.9458,2025-06-30,2,-0.2258,-4.5655,CAT,2025,Caterpillar,Industrial,-4.57
4.25,4.39,2025-03-31,1,-0.14,-3.1891,CAT,2025,Caterpillar,Industrial,-3.19
-1.12,-0.4013,2025-12-31,4,-0.7187,-179.0929,BA,2025,Boeing,Industrial,-179.09
-7.47,-4.73,2025-09-30,3,-2.74,-57.9281,BA,2025,Boeing,Industrial,-57.93
-1.24,-1.5246,2025-06-30,2,0.2846,18.6672,BA,2025,Boeing,Industrial,18.67
-0.49,-1.3314,2025-03-31,1,0.8414,63.1966,BA,2025,Boeing,Industrial,63.2
