category,datetime,headline,summary,source,url,full_text
general,1771949587,"Spirit Airlines plans to slash flights, fleet in bid to emerge from bankruptcy as early as spring",Spirit Airlines said it has reached an agreement with lenders to emerge from bankruptcy by late spring or early summer.,CNBC,https://www.cnbc.com/2026/02/24/spirit-airlines-bankruptcy-flights.html,"Spirit Airlines plans to slash flights, fleet in bid to emerge from bankruptcy as early as spring. Spirit Airlines said it has reached an agreement with lenders to emerge from bankruptcy by late spring or early summer."
general,1771948740,"AI will lead to mass unemployment, a new paper says — but other researchers are skeptical",The Citrini Research paper imagines a scenario in which widespread AI adoption leads to disruption and societal chaos. Evercore called it “thought-provoking” but “implausible.”,MarketWatch,https://www.marketwatch.com/story/ai-will-lead-to-mass-unemployment-a-new-paper-says-but-other-researchers-are-skeptical-982694d1,"AI will lead to mass unemployment, a new paper says — but other researchers are skeptical. The Citrini Research paper imagines a scenario in which widespread AI adoption leads to disruption and societal chaos. Evercore called it “thought-provoking” but “implausible.”"
general,1771946520,Consumers are more upbeat about the U.S. economy than previously thought,,MarketWatch,https://www.marketwatch.com/story/consumers-are-more-upbeat-about-the-u-s-economy-that-previously-thought-a26a43cd,Consumers are more upbeat about the U.S. economy than previously thought. 
general,1771946400,"I paid $20,000 to learn hard lessons about trading options",Read this before putting your money on options trades. Plus: Money tips from readers like you.,MarketWatch,https://www.marketwatch.com/story/i-paid-20-000-to-learn-hard-lessons-about-trading-options-c134a46d,"I paid $20,000 to learn hard lessons about trading options. Read this before putting your money on options trades. Plus: Money tips from readers like you."
general,1771946072,Classic 'TACO'? Investors shrug off Trump's latest tariff announcement,"Global equity markets were muted as Trump’s latest tariffs came into effect at 10%, a lower than expected rate.",CNBC,https://www.cnbc.com/2026/02/24/trump-tariff-rates-global-investors-taco-trade.html,"Classic 'TACO'? Investors shrug off Trump's latest tariff announcement. Global equity markets were muted as Trump’s latest tariffs came into effect at 10%, a lower than expected rate."
general,1771945200,"How boomers became the richest generation — and why Gen X, Gen Z and millennials may never catch up",There’s never been a generation like the baby boomers — and there probably never will be again.,MarketWatch,https://www.marketwatch.com/story/how-boomers-became-the-richest-generation-and-why-gen-x-gen-z-and-millennials-may-never-catch-up-b3b45bf4,"How boomers became the richest generation — and why Gen X, Gen Z and millennials may never catch up. There’s never been a generation like the baby boomers — and there probably never will be again."
general,1771943220,Why the smartest move for Netflix and Paramount is to let the other guy win Warner Bros.,History shows the “loser” in high-stakes bidding wars usually gets the last laugh — and the better stock performance.,MarketWatch,https://www.marketwatch.com/story/why-the-smartest-move-for-netflix-and-paramount-is-to-let-the-other-guy-win-warner-bros-524b7912,Why the smartest move for Netflix and Paramount is to let the other guy win Warner Bros.. History shows the “loser” in high-stakes bidding wars usually gets the last laugh — and the better stock performance.
general,1771942080,Your survival guide to watching Trump’s State of the Union,Pre–fact checking the State of the Union.,MarketWatch,https://www.marketwatch.com/story/your-survival-guide-to-watching-trumps-state-of-the-union-222e947f,Your survival guide to watching Trump’s State of the Union. Pre–fact checking the State of the Union.
general,1771941660,10 stocks Wall Street expects to roar back after dropping at least 20% in 2026,Analysts expect these stocks to soar at least 46% over the next 12 months.,MarketWatch,https://www.marketwatch.com/story/10-stocks-wall-street-expects-to-roar-back-after-dropping-at-least-20-in-2026-ea6eb2c2,10 stocks Wall Street expects to roar back after dropping at least 20% in 2026. Analysts expect these stocks to soar at least 46% over the next 12 months.
general,1771941255,Novo Nordisk to slash GLP-1 list prices by up to 50% in U.S. to cut costs for insured patients,"The cuts aim to make the drugs more accessible to insured patients, particularly people with high-deductible health plans or co-insurance benefit designs.",CNBC,https://www.cnbc.com/2026/02/24/novo-nordisk-to-slash-wegovy-ozempic-us-list-prices-by-up-to-50percent.html,"Novo Nordisk to slash GLP-1 list prices by up to 50% in U.S. to cut costs for insured patients. The cuts aim to make the drugs more accessible to insured patients, particularly people with high-deductible health plans or co-insurance benefit designs."
